COG_ID	category	name	truth	fn04_input	fn04_post	fn04_present	fn04_state	fn06_input	fn06_post	fn06_present	fn06_state	fn08_input	fn08_post	fn08_present	fn08_state
COG0067	E	Glutamate synthase domain 1	1	1	0.9998	1	kept	0	0.9914	1	recovered	0	0.3463	0	gap
COG0068	O	Hydrogenase maturation factor HypF (carbamoyltransferase)	1	0	0.9919	1	recovered	1	0.9929	1	kept	0	0.0274	0	gap
COG0069	E	Glutamate synthase domain 2	0	0	0.4197	0	absent	0	0.5491	1	FP	0	0.1645	0	absent
COG0070	E	Glutamate synthase domain 3	0	0	0.0090	0	absent	0	0.0686	0	absent	0	0.0059	0	absent
COG0071	O	Small heat shock protein IbpA, HSP20 family	1	1	0.9886	1	kept	1	0.9955	1	kept	0	0.1904	0	gap
COG0072	J	Phenylalanyl-tRNA synthetase beta subunit	1	0	0.9961	1	recovered	1	0.9984	1	kept	0	0.9828	1	recovered
COG0073	J	tRNA-binding EMAP/Myf domain	1	0	0.7731	1	recovered	0	0.7098	1	recovered	0	0.6609	1	recovered
COG0074	C	Succinyl-CoA synthetase, alpha subunit	1	1	0.9998	1	kept	0	0.9879	1	recovered	1	0.9928	1	kept
COG0075	EF	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	0	1	0.9930	1	FP	0	0.7765	1	FP	0	0.3845	0	absent
COG0076	E	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein	1	1	0.9906	1	kept	1	0.9905	1	kept	0	0.2178	0	gap
COG0077	E	Prephenate dehydratase	1	0	0.9933	1	recovered	0	0.9860	1	recovered	1	0.9952	1	kept
COG0078	E	Ornithine carbamoyltransferase	1	0	0.9985	1	recovered	0	0.9977	1	recovered	0	0.9595	1	recovered
COG0079	E	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	1	1	1.0000	1	kept	0	0.9998	1	recovered	0	0.9934	1	recovered
COG0080	J	Ribosomal protein L11	1	1	0.9993	1	kept	0	0.9724	1	recovered	1	0.9925	1	kept
COG0081	J	Ribosomal protein L1	1	1	0.9996	1	kept	0	0.9785	1	recovered	0	0.9635	1	recovered
COG0082	E	Chorismate synthase	1	0	0.9906	1	recovered	0	0.9903	1	recovered	0	0.9796	1	recovered
COG0083	E	Homoserine kinase	1	1	0.9809	1	kept	0	0.0391	0	gap	0	0.4064	0	gap
COG0084	N	3'->5' ssDNA/RNA exonuclease TatD	1	1	0.9998	1	kept	0	0.9946	1	recovered	0	0.9864	1	recovered
COG0085	K	DNA-directed RNA polymerase, beta subunit/140 kD subunit	1	0	0.9966	1	recovered	0	0.9847	1	recovered	0	0.9800	1	recovered
COG0086	K	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	1	1	0.9997	1	kept	1	0.9965	1	kept	1	0.9810	1	kept
COG0087	J	Ribosomal protein L3	1	1	0.9999	1	kept	0	0.9872	1	recovered	0	0.9627	1	recovered
COG0088	J	Ribosomal protein L4	1	1	0.9999	1	kept	0	0.9918	1	recovered	1	0.9935	1	kept
COG0089	J	Ribosomal protein L23	1	1	0.9998	1	kept	1	0.9993	1	kept	0	0.9881	1	recovered
COG0090	J	Ribosomal protein L2	1	1	0.9998	1	kept	1	0.9990	1	kept	0	0.9863	1	recovered
COG0091	J	Ribosomal protein L22	1	0	0.9918	1	recovered	1	0.9980	1	kept	0	0.9857	1	recovered
COG0092	J	Ribosomal protein S3	1	1	0.9999	1	kept	0	0.9924	1	recovered	1	0.9957	1	kept
COG0093	J	Ribosomal protein L14	1	1	0.9998	1	kept	0	0.9859	1	recovered	1	0.9933	1	kept
COG0094	J	Ribosomal protein L5	1	0	0.9987	1	recovered	1	0.9993	1	kept	0	0.9867	1	recovered
COG0095	H	Lipoate-protein ligase A	1	0	0.1122	0	gap	0	0.6073	1	recovered	0	0.2285	0	gap
COG0096	J	Ribosomal protein S8	1	0	0.9966	1	recovered	1	0.9986	1	kept	1	0.9947	1	kept
COG0097	J	Ribosomal protein L6P/L9E	1	1	0.9999	1	kept	1	0.9986	1	kept	0	0.9837	1	recovered
COG0098	J	Ribosomal protein S5	1	1	0.9998	1	kept	0	0.9843	1	recovered	0	0.9817	1	recovered
COG0099	J	Ribosomal protein S13	1	1	0.9995	1	kept	0	0.9658	1	recovered	1	0.9937	1	kept
COG0100	J	Ribosomal protein S11	1	0	0.9938	1	recovered	0	0.9770	1	recovered	1	0.9924	1	kept
COG0101	J	tRNA U38,U39,U40 pseudouridine synthase TruA	1	1	0.9998	1	kept	0	0.9931	1	recovered	0	0.9660	1	recovered
COG0102	J	Ribosomal protein L13	1	1	0.9996	1	kept	0	0.9872	1	recovered	1	0.9896	1	kept
COG0103	J	Ribosomal protein S9	1	1	0.9998	1	kept	1	0.9987	1	kept	0	0.9821	1	recovered
COG0104	F	Adenylosuccinate synthase	1	0	0.9944	1	recovered	0	0.9813	1	recovered	0	0.9610	1	recovered
COG0105	F	Nucleoside diphosphate kinase	1	1	0.9995	1	kept	0	0.9646	1	recovered	0	0.9747	1	recovered
COG0106	E	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	1	0	0.9728	1	recovered	1	0.9974	1	kept	1	0.9943	1	kept
COG0107	E	Imidazole glycerol phosphate synthase subunit HisF	1	0	0.9939	1	recovered	0	0.9945	1	recovered	0	0.9662	1	recovered
COG0108	H	3,4-dihydroxy-2-butanone 4-phosphate synthase	1	1	1.0000	1	kept	0	0.9967	1	recovered	0	0.9726	1	recovered
COG0109	HI	Polyprenyltransferase (heme O synthase)	1	0	0.8390	1	recovered	1	0.9868	1	kept	0	0.1667	0	gap
COG0110	R	Acetyltransferase, isoleucine patch superfamily	1	1	1.0000	1	kept	0	0.9954	1	recovered	0	0.9481	1	recovered
COG0111	H	Phosphoglycerate dehydrogenase or related dehydrogenase	1	1	0.9997	1	kept	0	0.9707	1	recovered	0	0.9384	1	recovered
COG0112	E	Glycine/serine hydroxymethyltransferase	1	1	0.9995	1	kept	1	0.9973	1	kept	0	0.9755	1	recovered
COG0113	H	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase	1	0	0.9997	1	recovered	0	0.9928	1	recovered	1	0.9957	1	kept
COG0114	C	Fumarate hydratase class II	1	0	0.9826	1	recovered	1	0.9990	1	kept	0	0.7782	1	recovered
COG0115	EH	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	1	1	0.9999	1	kept	1	0.9999	1	kept	0	0.9896	1	recovered
COG0116	J	23S rRNA G2445 N2-methylase RlmL	1	0	0.3663	0	gap	1	0.9988	1	kept	0	0.7398	1	recovered
COG0117	H	Riboflavin biosynthesis protein RibD, pyrimidine deaminase domain	1	1	1.0000	1	kept	0	0.9961	1	recovered	0	0.9482	1	recovered
COG0118	E	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH	1	0	0.9922	1	recovered	1	0.9977	1	kept	0	0.7221	1	recovered
COG0119	E	Isopropylmalate/homocitrate/citramalate synthases	1	0	0.9994	1	recovered	0	0.9985	1	recovered	0	0.9886	1	recovered
COG0120	G	Ribose 5-phosphate isomerase	1	1	0.7645	1	kept	1	0.8725	1	kept	1	0.3569	0	gap
COG0121	R	Predicted glutamine amidotransferase YafJ	1	0	0.1784	0	gap	1	0.7872	1	kept	0	0.0039	0	gap
COG0122	L	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	1	1	0.9964	1	kept	1	0.9864	1	kept	0	0.0763	0	gap
COG0123	Q	Acetoin utilization deacetylase AcuC or a related deacetylase	0	0	0.3619	0	absent	0	0.7431	1	FP	0	0.6814	1	FP
COG0124	J	Histidyl-tRNA synthetase	1	1	0.9997	1	kept	1	0.9978	1	kept	0	0.9819	1	recovered
COG0125	F	Thymidylate kinase	1	1	0.9993	1	kept	1	0.9963	1	kept	0	0.9674	1	recovered
COG0126	G	3-phosphoglycerate kinase	1	1	0.9999	1	kept	0	0.9883	1	recovered	0	0.9754	1	recovered
COG0127	F	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family	1	1	0.9999	1	kept	1	0.9995	1	kept	0	0.9832	1	recovered
COG0128	E	5-enolpyruvylshikimate-3-phosphate synthase	1	1	0.9998	1	kept	1	0.9993	1	kept	0	0.9799	1	recovered
COG0129	EG	Dihydroxyacid dehydratase/phosphogluconate dehydratase	1	0	0.9989	1	recovered	1	0.9995	1	kept	0	0.9869	1	recovered
COG0130	J	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA	1	1	0.9999	1	kept	0	0.9783	1	recovered	0	0.9804	1	recovered
COG0131	E	Imidazoleglycerol phosphate dehydratase HisB	1	1	0.9990	1	kept	0	0.9848	1	recovered	1	0.9882	1	kept
COG0132	H	Dethiobiotin synthetase	1	1	0.9839	1	kept	1	0.9293	1	kept	0	0.4921	0	gap
COG0133	E	Tryptophan synthase beta chain	1	1	1.0000	1	kept	0	0.9981	1	recovered	1	0.9970	1	kept
COG0134	E	Indole-3-glycerol phosphate synthase	1	1	0.9989	1	kept	0	0.9535	1	recovered	0	0.8614	1	recovered
COG0135	E	Phosphoribosylanthranilate isomerase	0	0	0.9224	1	FP	0	0.9619	1	FP	0	0.5689	1	FP
COG0136	E	Aspartate-semialdehyde dehydrogenase	1	0	0.9972	1	recovered	0	0.9881	1	recovered	1	0.9990	1	kept
COG0137	E	Argininosuccinate synthase	1	0	0.9940	1	recovered	1	0.9997	1	kept	0	0.9789	1	recovered
COG0138	F	AICAR transformylase/IMP cyclohydrolase PurH	1	1	0.9998	1	kept	0	0.9861	1	recovered	1	0.9977	1	kept
COG0139	E	Phosphoribosyl-AMP cyclohydrolase	1	1	0.9999	1	kept	1	0.9995	1	kept	0	0.9830	1	recovered
COG0140	E	Phosphoribosyl-ATP pyrophosphohydrolase	0	0	0.0512	0	absent	0	0.3696	0	absent	0	0.2490	0	absent
COG0141	E	Histidinol dehydrogenase	1	0	0.9962	1	recovered	1	0.9986	1	kept	1	0.9933	1	kept
COG0142	H	Geranylgeranyl pyrophosphate synthase	1	1	1.0000	1	kept	0	0.9984	1	recovered	0	0.9981	1	recovered
COG0143	J	Methionyl-tRNA synthetase	0	0	0.3072	0	absent	0	0.5640	1	FP	0	0.2758	0	absent
COG0144	J	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family	1	0	0.9931	1	recovered	0	0.9568	1	recovered	0	0.9004	1	recovered
COG0145	EQ	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit	0	0	0.3277	0	absent	0	0.8151	1	FP	0	0.4735	0	absent
COG0146	EQ	N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit	0	0	0.0129	0	absent	0	0.2064	0	absent	0	0.0400	0	absent
COG0147	EH	Anthranilate/para-aminobenzoate synthases component I	1	1	0.9999	1	kept	0	0.9993	1	recovered	0	0.9719	1	recovered
COG0148	G	Enolase	1	1	1.0000	1	kept	1	0.9995	1	kept	0	0.9912	1	recovered
COG0149	G	Triosephosphate isomerase	1	1	0.9999	1	kept	0	0.9953	1	recovered	0	0.9792	1	recovered
COG0150	F	Phosphoribosylaminoimidazole (AIR) synthetase	1	1	0.9994	1	kept	0	0.9834	1	recovered	0	0.9009	1	recovered
COG0151	F	Phosphoribosylamine-glycine ligase	1	1	0.9995	1	kept	0	0.9624	1	recovered	0	0.8493	1	recovered
COG0152	F	Phosphoribosylaminoimidazole-succinocarboxamide synthase	1	0	0.9746	1	recovered	0	0.9458	1	recovered	1	0.9824	1	kept
COG0153	G	Galactokinase	1	1	0.9832	1	kept	1	0.9265	1	kept	0	0.1371	0	gap
COG0154	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	1	0	0.9975	1	recovered	0	0.9985	1	recovered	0	0.9074	1	recovered
COG0155	P	Sulfite reductase, beta subunit (hemoprotein)	1	1	0.9999	1	kept	0	0.9602	1	recovered	0	0.4914	0	gap
COG0156	H	7-keto-8-aminopelargonate synthetase or related enzyme	1	0	0.9955	1	recovered	1	0.9961	1	kept	0	0.6560	1	recovered
COG0157	H	Nicotinate-nucleotide pyrophosphorylase	1	0	0.9829	1	recovered	0	0.9672	1	recovered	1	0.9906	1	kept
COG0158	G	Fructose-1,6-bisphosphatase	1	0	0.5864	1	recovered	1	0.9714	1	kept	0	0.4961	0	gap
COG0159	E	Tryptophan synthase alpha chain	1	0	0.9944	1	recovered	1	0.9988	1	kept	0	0.8669	1	recovered
COG0160	E	Acetylornithine aminotransferase/4-aminobutyrate aminotransferase	1	1	0.9953	1	kept	0	0.8557	1	recovered	1	0.9414	1	kept
COG0161	H	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	1	1	0.9998	1	kept	1	0.9996	1	kept	0	0.9018	1	recovered
COG0162	J	Tyrosyl-tRNA synthetase	1	1	0.9999	1	kept	0	0.9890	1	recovered	0	0.9770	1	recovered
COG0163	H	Flavin prenyltransferase UbiX	1	0	0.6222	1	recovered	0	0.0911	0	gap	0	0.7082	1	recovered
COG0164	L	Ribonuclease HII	1	1	1.0000	1	kept	0	0.9949	1	recovered	0	0.9780	1	recovered
COG0165	E	Argininosuccinate lyase	1	1	0.9999	1	kept	0	0.9967	1	recovered	0	0.9789	1	recovered
COG0166	G	Glucose-6-phosphate isomerase	1	0	0.9996	1	recovered	1	0.9999	1	kept	0	0.9936	1	recovered
COG0167	F	Dihydroorotate dehydrogenase	1	0	0.9993	1	recovered	0	0.9963	1	recovered	0	0.9906	1	recovered
COG0168	P	Trk-type K+ transport system, membrane component	1	0	0.4867	0	gap	0	0.9717	1	recovered	0	0.9506	1	recovered
COG0169	E	Shikimate 5-dehydrogenase	1	1	0.9995	1	kept	1	0.9989	1	kept	0	0.9705	1	recovered
COG0170	OM	Dolichol kinase	0	0	0.0063	0	absent	0	0.0345	0	absent	0	0.0178	0	absent
COG0171	H	NH3-dependent NAD+ synthetase	1	0	0.9955	1	recovered	1	0.9994	1	kept	0	0.9822	1	recovered
COG0172	J	Seryl-tRNA synthetase	1	0	0.9975	1	recovered	0	0.9903	1	recovered	0	0.9818	1	recovered
COG0173	J	Aspartyl-tRNA synthetase	1	1	0.9996	1	kept	1	0.9992	1	kept	0	0.9803	1	recovered
COG0174	E	Glutamine synthetase	1	0	0.9843	1	recovered	0	0.9223	1	recovered	0	0.4580	0	gap
COG0175	EH	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	1	0	0.9998	1	recovered	0	0.9626	1	recovered	0	0.2487	0	gap
COG0176	G	Transaldolase/fructose-6-phosphate aldolase	1	1	1.0000	1	kept	1	0.9989	1	kept	0	0.9727	1	recovered
COG0177	L	Endonuclease III	1	0	0.9839	1	recovered	1	0.9959	1	kept	0	0.9685	1	recovered
COG0178	L	Excinuclease UvrABC ATPase subunit	1	1	0.9999	1	kept	1	0.9994	1	kept	0	0.9872	1	recovered
COG0179	Q	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	1	0	0.9966	1	recovered	0	0.9718	1	recovered	0	0.7893	1	recovered
COG0180	J	Tryptophanyl-tRNA synthetase	1	1	0.9998	1	kept	0	0.9908	1	recovered	0	0.9866	1	recovered
COG0181	H	Porphobilinogen deaminase	1	1	1.0000	1	kept	0	0.9952	1	recovered	0	0.9368	1	recovered
COG0182	E	5-methylthioribose/5-deoxyribulose 1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit	1	0	0.4942	0	gap	0	0.8190	1	recovered	0	0.1795	0	gap
COG0183	I	Acetyl-CoA acetyltransferase	1	1	0.9999	1	kept	1	0.9997	1	kept	0	0.9051	1	recovered
COG0184	J	Ribosomal protein S15P/S13E	1	1	0.9997	1	kept	1	0.9982	1	kept	0	0.9829	1	recovered
COG0185	J	Ribosomal protein S19	1	1	0.9998	1	kept	1	0.9985	1	kept	0	0.9764	1	recovered
COG0186	J	Ribosomal protein S17	1	0	0.9966	1	recovered	0	0.9868	1	recovered	0	0.9796	1	recovered
COG0187	L	DNA gyrase/topoisomerase IV, subunit B	1	0	0.9994	1	recovered	0	0.9961	1	recovered	0	0.9906	1	recovered
COG0188	L	DNA gyrase/topoisomerase IV, subunit A	1	0	0.9982	1	recovered	0	0.9971	1	recovered	0	0.9934	1	recovered
COG0189	EHJQ	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily	1	0	0.9848	1	recovered	0	0.9877	1	recovered	0	0.9442	1	recovered
COG0190	H	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase	1	0	0.9964	1	recovered	1	0.9990	1	kept	0	0.9838	1	recovered
COG0191	G	Fructose/tagatose bisphosphate aldolase	1	1	1.0000	1	kept	0	0.9987	1	recovered	0	0.9958	1	recovered
COG0192	H	S-adenosylmethionine synthetase	1	0	0.9963	1	recovered	1	0.9995	1	kept	0	0.9676	1	recovered
COG0193	J	Peptidyl-tRNA hydrolase	1	0	0.9910	1	recovered	0	0.9877	1	recovered	0	0.9831	1	recovered
COG0194	F	Guanylate kinase	1	0	0.9376	1	recovered	0	0.9649	1	recovered	0	0.9487	1	recovered
COG0195	K	Transcription antitermination factor NusA, contains S1 and KH domains	1	1	0.9993	1	kept	1	0.9935	1	kept	1	0.9837	1	kept
COG0196	H	FAD synthase	1	1	0.9996	1	kept	0	0.9855	1	recovered	1	0.9933	1	kept
COG0197	J	Ribosomal protein L16/L10AE	1	1	0.9999	1	kept	0	0.9895	1	recovered	0	0.9764	1	recovered
COG0198	J	Ribosomal protein L24	1	1	0.9998	1	kept	0	0.9864	1	recovered	0	0.9799	1	recovered
COG0199	J	Ribosomal protein S14	1	1	0.9978	1	kept	0	0.4662	0	gap	0	0.6817	1	recovered
COG0200	J	Ribosomal protein L15	1	0	0.9980	1	recovered	0	0.9926	1	recovered	1	0.9965	1	kept
COG0201	U	Preprotein translocase subunit SecY	1	1	0.9999	1	kept	0	0.9935	1	recovered	0	0.9902	1	recovered
COG0202	K	DNA-directed RNA polymerase, alpha subunit/40 kD subunit	1	1	0.9999	1	kept	1	0.9987	1	kept	0	0.9839	1	recovered
COG0203	J	Ribosomal protein L17	1	1	0.9998	1	kept	0	0.9867	1	recovered	0	0.9849	1	recovered
COG0204	I	1-acyl-sn-glycerol-3-phosphate acyltransferase	1	0	0.9999	1	recovered	1	1.0000	1	kept	0	0.9990	1	recovered
COG0205	G	6-phosphofructokinase	1	1	0.9999	1	kept	1	0.9994	1	kept	1	0.9993	1	kept
COG0206	D	Cell division GTPase FtsZ	1	1	1.0000	1	kept	0	0.9951	1	recovered	1	0.9963	1	kept
